"walletAddress","contractAddress","collectionName","quantity","spam"
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x000386e3f7559d9b6a2f5c46b4ad1a9587d59dc3","Bored Ape Nike Club",3,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x00703f9b11f2ac02d391a11e7b97c6ee80cd8563","Elon Musk",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0270d6ba8497af8116ea1af1f4697ac9dcdbf116","CHANEL",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x02cd7f315cb6fd56904d6523ef2df56afbdf7aa2","Simple LysnaC Cards",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x02d2615e4b4964b46203229ce90b6965225e34ae","Cryptoverse by UltraDAO",3,false
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x02f66754480f3559c56d37e96a9ff152e5943d0f","Third Eyes Limited",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x034a0e87ccb2943e60ddc1fd6a3ab3aaa442e554","Louis Vuitton",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0419791b7874f7bb719acc521a4dc8f95d7880d5","DusktopiaNFT",8,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x04244909ec1e5766f46500b964b11bbb31dbf9eb","The Beeings NFT",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x04a4825a6dc9c4283b289ef40ae215436989deea","Imaginary Ones",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x04e4b74b1730806ecdd1d9b9837e77546d40c3f0","Bored Ape Yacht Club X COLORPENCIL",4,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x04fdc08598f50ffb09ae9a063b04c1227a546d7e","Trippin Ape Tribe",14,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x053b0a4294388532ac5ce6d55a30415010c4a005","Invisible Apes",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x06eb75d315b88eaf04d1e22d8c9488b7834a31b5","Louis Vuitton",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x08fee0109aa132466f15325655b042c906805401","Louis Vuitton",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x090c26dd4275f6c2c4007ed84cbc2000f0edecf1","Coca Cola",2,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x095c1e0a6fe0075d78ad275c657df5b07630c021","NIKE",2,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x097d19d111947ba95bd55f06a8d1ed70df2c67de","Streetfighters Art Official",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0c5932213a9b70b91625caeea7d22b5a16b108ae","Coca Cola",2,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0ccee39f8c3b78cdca33755b4b695d6a6f8ec773","Blue Webaverse Member Pass",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0d125b4a5c423713860f21cc4e9558b092411bbd","Lil Frens",5,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0e29b5be8860c7354797f099db4faa9731c09923","Tragic Dark Country",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0f71c2554ad991ab10dea1614ce8168e6f9e489c","NIKE X RTFKT",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x0fc97013ed57e3b5d738e30f5761e52f43bb9897","Kuroki Nft",5,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x11bcfae88954f2961389658f5e57be3b4d83d03e","Blvck Paris",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x11ed558874785f48e96e80e030aed8e7f96824a5","Coca-Cola",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x1272c4d0e5d69217ddd9f8518a2c21197c2ec76d","Beautiful CREA Genesis",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x13195d2c35c7694a2640c3c4c4c904ed9b553526","Skills Of APE Keys Items",1,true
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x134460d32fc66a6d84487c20dcd9fdcf92316017","Woodie",63,false
"0x80de2f874067b092bcb914144efbe1b54a731f4d","0x13fc42b706dc7ee935ceaf0e06b901f01fd362b7","PATEK PHILIPPE",1,true
